Descricao,Codigo,RET,Validade_RET,IA
Stage,,,,Cloreto de Mepiquate (amônio quaternário) 250g.L⁻¹
Stage 50,,,,Cloreto de Mepiquate (amônio quaternário) 50g.L⁻¹
Stallion 150 CS,,,,Gama-cialotrina (piretróide) 150g.L⁻¹
Stallion 60 CS,,,,Gama-cialotrina (piretróide) 60g.L⁻¹
Stallion 60 CS,,,,Gama-cialotrina (piretróide) 60g.L⁻¹
Stam 360,,,,propanil (anilida) 360g.L⁻¹
Stam 480,,,,propanil (anilida) 480g.L⁻¹
Stam 800 WG,,,,propanil (anilida) 800g/kg
Stampir BR,,,,propanil (anilida) 380g.L⁻¹
Standak,,,,fipronil (pirazol) 250g.L⁻¹
Standak Top,,,,piraclostrobina (estrobilurina) 25g.L⁻¹ + fipronil (pirazol) 250g.L⁻¹
Staple 280 CS,,,,
Starane 200,,,,
Starice,,,,
Starion,,,,bifentrina (piretróide) 25g.L⁻¹
Starion 2P,,,,bifentrina (piretróide) 2g/kg
Status,,,,oxicloreto de cobre (inorgânico) 588g/kg
Steel BR,,,,pendimetalina (dinitroanilina) 269g.L⁻¹ + imazetapir (imidazolinona) 20g.L⁻¹ + imazaquim (imidazolinona) 20g.L⁻¹
Stilo,,,,clorimurom-etílico(sulfoniluréia) 250g/kg
Stimo,,,,zoxamida (benzamida) 73g/kg + mancozebe (alquilenobis(ditiocarbamato)) 727g/kg
Stimo WP,,,,zoxamida (benzamida) 73g/kg + mancozebe (alquilenobis(ditiocarbamato)) 727g/kg
Stimulate,,,,cinetina (citocinina) 0g.L⁻¹ + ácido giberélico (giberelina) 0g.L⁻¹
Stinger,,,,glifosato (glicina substituída) 480g.L⁻¹
Stinger WG,,,,glifosato-sal de amônio (glicina substituída) 792g/kg
Stoy 40 SC,,,,nicossulfurom (sulfoniluréia) 40g.L⁻¹
Stratego 250 EC,,,,trifloxistrobina (estrobilurina) 125g.L⁻¹ + propiconazol (triazol) 125g.L⁻¹
Streak 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Stroby,,,,cresoxim-metílico (estrobilurina) 500g.L⁻¹
Stroby SC,,,,cresoxim-metílico (estrobilurina) 500g.L⁻¹
Style,,,,hexazinona (triazinona) 750g/kg
"Success*0,02 CB",,,,espinosade (espinosinas) 0g.L⁻¹
Sucession,,,,metolacloro (cloroacetanilida) 353g.L⁻¹ + glifosato (glicina substituída) 265g.L⁻¹
Sulfato de Cobre Agrimar,,,,sulfato de cobre (inorgânico) 990g/kg
Sulfato de Cobre Microsal,,,,sulfato de cobre (inorgânico) 985g/kg
Sulfentrazone 500 SC PLS CL 1,,,,sulfentrazona (triazolona) 500g.L⁻¹
Sulflow SC,,,,enxofre (inorgânico) 750g.L⁻¹
Sulfur 800,,,,enxofre (inorgânico) 800g.L⁻¹
Sulfure 750,,,,enxofre (inorgânico) 750g.L⁻¹
Sumidan 150 SC,,,,esfenvalerato (piretróide) 150g.L⁻¹
Sumidan 25 EC,,,,esfenvalerato (piretróide) 25g.L⁻¹
Sumifog 70,,,,fenitrotiona (organofosforado) 70g/kg
Sumigran 500 EC,,,,fenitrotiona (organofosforado) 500g.L⁻¹
Sumigranplus,,,,fenitrotiona (organofosforado) 500g.L⁻¹ + esfenvalerato (piretróide) 25g.L⁻¹
Sumiguard 500 WP,,,,procimidona (dicarboximida) 500g/kg
Sumilex 500 WP,,,,procimidona (dicarboximida) 500g/kg
Sumirody 300,,,,fenpropatrina (piretróide) 300g.L⁻¹
Sumisoya,,,,flumioxazina (ciclohexenodicarboximida) 500g/kg
Sumistar WG,,,,Clotianidina (neonicotinóide) 500g/kg
Sumithion UBV,,,,fenitrotiona (organofosforado) 950g.L⁻¹
Sumithion 500 EC,,,,fenitrotiona (organofosforado) 500g.L⁻¹
Sumô,,,,
Sumyzin 500,,,,flumioxazina (ciclohexenodicarboximida) 500g/kg
Sunfire,,,,clorfenapir (análogo de pirazol) 240g.L⁻¹
Supera,,,,hidróxido de cobre (inorgânico) 537g.L⁻¹
Supermetrina Agria 500,,,,permetrina (piretróide) 500g.L⁻¹
Supermetrina Agria 500,,,,permetrina (piretróide) 500g.L⁻¹
Supimpa,,,,tiodicarbe (metilcarbamato de oxima) 800g/kg
Supimpa,,,,tiodicarbe (metilcarbamato de oxima) 800g/kg
Support,,,,
Support WG,,,,
Suprathion 400 EC,,,,metidationa (organofosforado) 400g.L⁻¹
Surcozole,,,,tebuconazol (triazol) 200g.L⁻¹
Surpass,,,,acetocloro (cloroacetanilida) 768g.L⁻¹
Sweeper,,,,imazamoxi (imidazolinona) 700g/kg
Systemic,,,,tebuconazol (triazol) 200g.L⁻¹
Systhane EC,,,,miclobutanil (triazol) 250g.L⁻¹
Systhane WP,,,,miclobutanil (triazol) 400g.L⁻¹
Systhane 250 EC,,,,miclobutanil (triazol) 250g.L⁻¹
Systhane 400 WP,,,,miclobutanil (triazol) 400g/kg
Tacora 250 EW,,,,tebuconazol (triazol) 250g.L⁻¹
Tairel M,,,,mancozebe (alquilenobis(ditiocarbamato)) 650g/kg + benalaxil (acilalaninato) 80g/kg
Tairel M,,,,mancozebe (alquilenobis(ditiocarbamato)) 650g/kg + benalaxil (acilalaninato) 80g/kg
Tairel Plus,,,,clorotalonil 720 400g/kg + benalaxil (acilalaninato) 80g/kg
Tairel Plus,,,,clorotalonil 720 400g/kg + benalaxil (acilalaninato) 80g/kg
Taj,,,,fipronil (pirazol) 250g.L⁻¹
Talcord,,,,permetrina (piretróide) 250g.L⁻¹
Talcord 250,,,,permetrina (piretróide) 250g.L⁻¹
Talento,,,,hexitiazoxi (tiazolidinacarboxamida) 500g/kg
Talisman,,,,bifentrina (piretróide) 50g.L⁻¹
Talisman,,,,bifentrina (piretróide) 50g.L⁻¹
Talstar 100 EC,,,,bifentrina (piretróide) 100g.L⁻¹
Talstar 100 EC,,,,bifentrina (piretróide) 100g.L⁻¹
Tango Cash,,,,epoxiconazol (triazol) 75g.L⁻¹
Tapak,,,,óxido de fembutatina (organoestânico) 500g.L⁻¹
Targa 50 EC,,,,
Tasker,,,,flutriafol (triazol) 125g.L⁻¹ + azoxistrobina (estrobilurina) 125g.L⁻¹
Tasker,,,,flutriafol (triazol) 125g.L⁻¹ + azoxistrobina (estrobilurina) 125g.L⁻¹
Tattoo C,,,,clorotalonil 720 375g.L⁻¹ + Cloridrato de propamocarbe (carbamato) 375g.L⁻¹
Tebuco Nortox,,,,tebuconazol (triazol) 200g.L⁻¹
Tebuconazol 200 EC AgriA,,,,tebuconazol (triazol) 200g.L⁻¹
Tebuconazole CCAB 200 EC,,,,tebuconazol (triazol) 200g.L⁻¹
Tebufort,,,,tebuconazol (triazol) 200g.L⁻¹
Tebufort,,,,tebuconazol (triazol) 200g.L⁻¹
Tebuhelm,"",,,tebuconazol (triazol) 200g.L⁻¹
Tebuzim 250 SC,,,,tebuconazol (triazol) 125g.L⁻¹ + carbendazim (benzimidazol) 125g.L⁻¹
Tebuzol 200 EC,,,,tebuconazol (triazol) 200g.L⁻¹
Tecto SC,,,,tiabendazol (benzimidazol) 485g.L⁻¹
Tenace,,,,metribuzim (triazinona) 480g.L⁻¹
Tenace,,,,metribuzim (triazinona) 480g.L⁻¹
Tenaz 250 SC,,,,flutriafol (triazol) 250g.L⁻¹
Tento 867 SL,,,,"2,4-D (ácido ariloxialcanóico) 867g.L⁻¹"
Teor,,,,fipronil (pirazol) 800g/kg
Teor WG,,,,fipronil (pirazol) 800g/kg
Terraclor 750 WP,,,,quintozeno (cloroaromático) 750g/kg
Terrazole 350 WP,,,,etridiazol (éter tiadiazólico) 350g/kg
Texas,,,,picloram (ácido piridinocarboxílico) 388g.L⁻¹
Thiobel 500,,,,Cloridrato de cartape (bis(tiocarbamato)) 500g/kg
Thiovit Jet,,,,enxofre (inorgânico) 800g/kg
Thorn,,,,triflumurom (benzoiluréia) 288g.L⁻¹ + beta-ciflutrina (piretróide) 40g.L⁻¹
Thunder,,,,amicarbazona (triazolinona) 700g/kg
Thuricide,,,,Bacillus thuringiensis (biológico) 32g/kg
Thuricide SC,,,,Benzovindiflupyr (pirazol carboxamida) 150g/kg + Bacillus thuringiensis (biológico) 190g.L⁻¹ + azoxistrobina (estrobilurina) 300g/kg
Tidy 700,,,,
Tiger 100 EC,,,,piriproxifem (éter piridiloxipropílico) 100g.L⁻¹
Tilt,,,,propiconazol (triazol) 250g.L⁻¹
Timon,,,,imidacloprido (neonicotinóide) 200g.L⁻¹
Tino,,,,propiconazol (triazol) 250g.L⁻¹
Tino,,,,propiconazol (triazol) 250g.L⁻¹
Tiodicarbe 350 SC,,,,tiodicarbe (metilcarbamato de oxima) 350g.L⁻¹
Tiofanato-Metílico 500 Helm,,,,
Tiofanil,,,,clorotalonil 720 500g/kg
Tocha,,,,Paraquate (bipiridílio) 200g.L⁻¹ + Dicloreto de paraquate (bipiridílio) 276g.L⁻¹
Toco,,,,picloram (ácido piridinocarboxílico) 427g.L⁻¹
Togar TB,,,,picloram (ácido piridinocarboxílico) 43g.L⁻¹
Topgan,,,,imazaquim (imidazolinona) 161g.L⁻¹
Topgan WG,,,,imazaquim (imidazolinona) 700g/kg
Topgan 150,,,,imazaquim (imidazolinona) 161g.L⁻¹
Topik 240 EC,,,,
Topsin 500 SC.,,,,
TOPSIN 700,,,,
Topstar,,,,acefato (organofosforado) 750g/kg
Tordon,,,,"2,4-D-trietanolamina (ácido ariloxialcanóico) 402g.L⁻¹"
Tordon XT,,,,Aminopiralide (ácido piridinocarboxílico) 76g.L⁻¹
Toreg 50 EC,,,,lambda-cialotrina (piretróide) 50g.L⁻¹
Torino,,,,fluazinam (fenilpiridinilamina) 52g.L⁻¹
Tornado,,,,flutriafol (triazol) 125g.L⁻¹
Tornado,,,,flutriafol (triazol) 125g.L⁻¹
Totril,,,,ioxinil (benzonitrila) 335g.L⁻¹
Touchdown,,,,
Tracer,,,,espinosade (espinosinas) 480g.L⁻¹
Tractor,,,,"picloram (ácido piridinocarboxílico) 103g.L⁻¹ + 2,4-D-trietanolamina (ácido ariloxialcanóico) 406g.L⁻¹"
Tradicional,,,,
Treasure,,,,epoxiconazol (triazol) 80g.L⁻¹
Trebon 100 SC,,,,etofenproxi (éter difenílico) 100g.L⁻¹
Trecatol,,,,mancozebe (alquilenobis(ditiocarbamato)) 650g/kg + benalaxil (acilalaninato) 80g/kg
Triade,,,,tebuconazol (triazol) 200g.L⁻¹
Tricea,,,,pyroxsulam (triazolopirimidina sulfonanilida) 45g.L⁻¹
Trichobug,,,,Trichogramma galloi (biológico) 2000sc/cac
Trichodermax EC,,,,Trichoderma asperellum (biológico) 30g.L⁻¹
Trichodermil SC 1306,,,,Trichoderma harzianum (biológico) 48g.L⁻¹
Triclon,,,,
Triclopyr 480 Volagro,,,,
Tricovab,,,,Trichoderma stromaticum (biológico) 19g/kg
Trifluralina Atanor 445 EC,,,,trifluralina (dinitroanilina) 445g.L⁻¹
Trifluralina Milenia,,,,trifluralina (dinitroanilina) 455g.L⁻¹
Trifluralina Nortox,,,,trifluralina (dinitroanilina) 445g.L⁻¹
Trifluralina Nortox Gold,,,,trifluralina (dinitroanilina) 450g.L⁻¹
Triflurex 480 EC,,,,trifluralina (dinitroanilina) 480g.L⁻¹
Trifmine,,,,triflumizol (imidazol) 300g/kg
Trifoli,,,,flutriafol (triazol) 125g.L⁻¹
Trigard 750 WP,,,,ciromazina (triazinamina) 750g/kg
Triller EC,,,,bifentrina (piretróide) 100g.L⁻¹
Trinca,,,,lambda-cialotrina (piretróide) 50g.L⁻¹
Trinca,,,,lambda-cialotrina (piretróide) 50g.L⁻¹
Trinca Caps,,,,lambda-cialotrina (piretróide) 250g.L⁻¹
Trinca Caps,,,,lambda-cialotrina (piretróide) 250g.L⁻¹
Trinity 250 SC,,,,flutriafol (triazol) 250g.L⁻¹
Triona,,,,óleo mineral (hidrocarbonetos alifáticos) 800ml/litro
Tritac,,,,trifluralina (dinitroanilina) 480g.L⁻¹
Trop,,,,
Tropazin,,,,simazina (triazina) 480g.L⁻¹ + glifosato (glicina substituída) 115g.L⁻¹
Tropero,,,,picloram (ácido piridinocarboxílico) 427g.L⁻¹
Tropuron,,,,glifosato (glicina substituída) 190g.L⁻¹ + diurom (uréia) 400g.L⁻¹
Trueno,,,,Aminopiralide (ácido piridiniloxialcanóico) 40g.L⁻¹
Truenza,,,,diflubenzurom (benzoiluréia) 250g/kg
TrulyMax,,,,diflubenzurom (benzoiluréia) 250g/kg
Trunker,,,,
Truper,"",,,
Tucson,,,,"picloram (ácido piridiniloxialcanóico) 103g.L⁻¹ + 2,4-D-trietanolamina (ácido ariloxialcanóico) 406g.L⁻¹"
Tuit Florestal,,,,fipronil (pirazol) 800g/kg
Tupan 720 WG,,,,glifosato-sal de amônio (glicina substituída) 792g/kg
Turbine 500 WG,,,,flonicamida (nicotinóide) 500g/kg
Turbine 500 WG,,,,flonicamida (nicotinóide) 500g/kg
Turbo,,,,beta-ciflutrina (piretróide) 50g.L⁻¹
Turf Oleo,,,,Oleo Vegetal (ésteres de ácidos graxos) 860g.L⁻¹
Turuna,,,,"picloram (ácido piridinocarboxílico) 114g.L⁻¹ + 2,4-D (ácido ariloxialcanóico) 447g.L⁻¹"
Tutor,,,,hidróxido de cobre (inorgânico) 691g/kg
Twister,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Twister,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Tyson 750 WG,,,,nicossulfurom (sulfoniluréia) 750g/kg
U 46 BR,,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
"U 46 D-Fluid 2,4-D",,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
U 46 Prime,,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
Unimark 700 WG,,,,metribuzim (triazinona) 700g/kg
Unix 750 WG,,,,ciprodinil (anilinopirimidina) 750g/kg
Unizeb Glory,,,,mancozebe (alquilenobis(ditiocarbamato)) 700g/kg + azoxistrobina (estrobilurina) 50g/kg
Unizeb Glory,,,,mancozebe (alquilenobis(ditiocarbamato)) 700g/kg + azoxistrobina (estrobilurina) 50g/kg
Unizeb Gold,,,,mancozebe (alquilenobis(ditiocarbamato)) 750g/kg
Unizeb 800 WP,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Upmyl,,,,metomil (metilcarbamato de oxima) 215g.L⁻¹
Upmyl,,,,metomil (metilcarbamato de oxima) 215g.L⁻¹
Up-Stage 500 EC,,,,clomazona (isoxazolidinona) 500g.L⁻¹
Uragan 800 WP,,,,bromacila (uracila) 800g/kg
Urge 750 SP,,,,acefato (organofosforado) 750g.L⁻¹
Valient,,,,metoxifenozida (diacilhidrazina) 240g.L⁻¹
Vanox 500 SC,,,,clorotalonil 720 500g.L⁻¹
Vantigo,,,,azoxistrobina (estrobilurina) 500g/kg
Veget Oil,,,,Oleo Vegetal (ésteres de ácidos graxos) 930g.L⁻¹
Velpar Max,,,,hexazinona (triazinona) 173g/kg + diurom (uréia) 615g/kg
Velpar-K,,,,hexazinona (triazinona) 142g/kg + diurom (uréia) 488g/kg
Velpar-K WG,,,,hexazinona (triazinona) 132g/kg + diurom (uréia) 468g/kg
Verdadero 20 GR,,,,tiametoxam (neonicotinóide) 10g/kg + ciproconazol (triazol) 10g/kg
Verdadero 600 WG,,,,tiametoxam (neonicotinóide) 300g/kg + ciproconazol (triazol) 300g/kg
Verdict R,"",,,haloxifope-P-metílico (ácido ariloxifenoxipro 124.7g.L⁻¹
Verimark,,,,Ciantraniliprole (antranilamida) 200g.L⁻¹
Veromite,,,,propargito (sulfito de alquila) 720g.L⁻¹
VERPAVEX,,,,Baculovirus anticarsia (biológico) 6g.L⁻¹
Vertimec 18 EC,,,,abamectina (avermectina) 18g.L⁻¹
Vexter,,,,clorpirifós (organofosforado) 480g.L⁻¹
Vezir,,,,imazetapir (imidazolinona) 106g.L⁻¹
Vezir WG,,,,imazetapir (imidazolinona) 700g/kg
Vezir 100,,,,imazetapir (imidazolinona) 106g.L⁻¹
Viktor,,,,picloram (ácido piridinocarboxílico) 76g.L⁻¹
"Vincit 2,5 DS",,,,"flutriafol (triazol) 25g/kg + 2,4-D (ácido ariloxialcanóico) 289g.L⁻¹"
"Vincit 2,5 DS",,,,"flutriafol (triazol) 25g/kg + 2,4-D (ácido ariloxialcanóico) 289g.L⁻¹"
Vincit 50 SC,,,,flutriafol (triazol) 50g.L⁻¹
Vincit 50 SC,,,,flutriafol (triazol) 50g.L⁻¹
Vincitore WG,,,,clorotalonil 720 600g/kg
Vindra 425 SC,,,,clorotalonil 720 375g.L⁻¹ + cimoxanil (acetamida) 50g.L⁻¹
Virtue,,,,epoxiconazol (triazol) 125g.L⁻¹
VIRTUOSO 250 SC,,,,tebuconazol (triazol) 125g.L⁻¹ + carbendazim (benzimidazol) 125g.L⁻¹
Vision,,,,óleo vegetal (ésteres de  ácidos graxos) 860g.L⁻¹
Visor 240 EC,,,,tiazopir (ácido piridinocarboxílico) 240g.L⁻¹
Vitavax Thiram 200 SC,,,,tiram (dimetilditiocarbamato) 200g.L⁻¹ + carboxina (carboxanilida) 200g.L⁻¹
Vitavax-Thiram WP,,,,tiram (dimetilditiocarbamato) 375g/kg + carboxina (carboxanilida) 375g/kg
VIVIFUL,,,,Prohexadione-Cálcio (Ciclohexadiona) 275g/kg
Volcane,,,,MSMA (organoarsênico) 790g.L⁻¹
Voliam Flexi,,,,tiametoxam (neonicotinóide) 200g.L⁻¹ + clorantraniliprole (antranilamida) 100g.L⁻¹
Voliam Targo,,,,clorantraniliprole (antranilamida) 45g.L⁻¹ + abamectina (avermectina) 18g.L⁻¹
Oliam Targo,,,,clorantraniliprole (antranilamida) 45g.L⁻¹ + abamectina (avermectina) 18g.L⁻¹
Volt,,,,bentazona (benzotiadiazinona) 400g.L⁻¹ + Acifluorfem-sódico (éter difenílico) 170g.L⁻¹
Vondozeb 800 WP,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Voraz,,,,novalurom (benzoiluréia) 35g.L⁻¹ + metomil (metilcarbamato de oxima) 440g.L⁻¹
Warrant 700 WG,,,,imidacloprido (neonicotinóide) 700g/kg
Warrant 700 WG,,,,imidacloprido (neonicotinóide) 700g/kg
Warrior,,,,epoxiconazol (triazol) 125g.L⁻¹
Warrior,,,,epoxiconazol (triazol) 125g.L⁻¹
Wasp 480 SC,,,,triflumurom (benzoiluréia) 480g.L⁻¹
Wheater*,,,,pyroxsulam (triazolopirimidina sulfonanilida) 45g.L⁻¹
Whip S,,,,
Wide,,,,imazetapir (imidazolinona) 700g/kg
Winner,,,,imidacloprido (neonicotinóide) 200g.L⁻¹
Wish 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Wolf,,,,metsulfurom-metílico (sulfoniluréia) 600g/kg
Xavante,,,,fluopicolide (benzamida) 480g.L⁻¹
Xekil,,,,hexazinona (triazinona) 132g/kg + diurom (uréia) 468g/kg
Xentari,,,,Bacillus thuringiensis (biológico) 540g.L⁻¹
Yoda,,,,azoxistrobina (estrobilurina) 250g.L⁻¹
Yoda,,,,azoxistrobina (estrobilurina) 250g.L⁻¹
Zapp QI 620,,,,
Zartan,,,,metsulfurom-metílico (sulfoniluréia) 600g/kg
Zartan,,,,metsulfurom-metílico (sulfoniluréia) 600g/kg
Zaz,,,,etefom (etileno (precursor de)) 480g.L⁻¹
Zellus SC,,,,Clotianidina (neonicotinóide) 215g.L⁻¹
Zetanil,,,,clorotalonil 720 375g.L⁻¹ + cimoxanil (acetamida) 50g.L⁻¹
Zetanil WG,,,,clorotalonil 720 750g/kg + cimoxanil (acetamida) 100g/kg
Zetaram WG,,,,oxicloreto de cobre (inorgânico) 420g/kg + clorotalonil 720 400g/kg
Zethapyr 106 SL,,,,imazetapir (imidazolinona) 106g.L⁻¹
Zignal,,,,fluazinam (fenilpiridinilamina) 500g.L⁻¹
Zoom,,,,flutriafol (triazol) 125g.L⁻¹
Zoxium 800 WP,,,,zoxamida (benzamida) 800g/kg
"2,4 D Amina 840 SL",,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 720g.L⁻¹"
"2,4-D Amina CCAB 806 SL",,,,"2,4-D (ácido ariloxialcanóico) 806g.L⁻¹"
"2,4-D Amina 806 SL Genbra",,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
"2,4-D Fersol",,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 867g.L⁻¹"
"2,4-D Nortox",,,,"2,4-D (ácido ariloxialcanóico) 806g/kg"
"2,4-D 806 RN",,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
"2,4-D 806 SL Alamos",,,,"2,4-D-dimetilamina (ácido ariloxialcanóico) 806g.L⁻¹"
Produto de Teste,"",,,
Versatilis,"",,,
APPROVE,IHF 44 FLD,,,
PROF,"",,,
Fiproni Nortox,"",,,
Fiproni Nortox,"",,,
NTX FORM.,"",,,
FMC-OILED,"",,,óleo mineral (hidrocarbonetos alifáticos) 10%
Quid Oil,"",,,
Fox Xpro,"",,,Bixafem 12.5% + trifloxistrobina (estrobilurina) 73% + Protioconazol (Triazolinthione) 17.5%
Aminofosfito Cu,"",,,
Mees,"",,,óleo mineral (hidrocarbonetos alifáticos) 76.6%
Tridium,"",,,tebuconazol (triazol) 56g/kg + mancozebe (alquilenobis(ditiocarbamato) 597g/kg + azoxistrobina (estrobilurina) 47g/kg
Prisma Plus,"",,,difenoconazol (triazol) 250g.L⁻¹
Tamiz,"",,,tebuconazol (triazol) 160g.L⁻¹ + azoxistrobina (estrobilurina) 120g.L⁻¹
Ochima,"",,,"ADJUVANTE, ESPALHANTE ADESIVO 752g.L⁻¹"
Rumba,"",,,ester Metílico de óleo de Soja  76.5%
Chitosan,"",,,Quitina 50%
H-Exal,"",,,Extrato de algas 50%
Ativum,"",,,piraclostrobina (estrobilurina) 81g.L⁻¹ + fluxapiroxade (carboxamida) 50g.L⁻¹ + epoxiconazol (triazol) 50g.L⁻¹
Strides,"",,,Oleo Vegetal (ésteres de ácidos graxos) 50%
TWIXX,DUO,,,Bacillus amyl. cepa CPQBA 040-11DRM04 47.35% + Bacillus amyl. cepa CPQBA 040-11DRM01 47.35%
Veeper,"",,,Dióxido de cloro estabilizado 7%
assoluto,"",,,N.A. 50%
Audace Red,"",,,N.A. 50%
Mantus,"",,,N.A. 50%
Audaz,"",,,oxicloreto de cobre ( inorgânico ) 420g.L⁻¹ + fluxapiroxade (carboxamida) 50g.L⁻¹
Protettore,"",,,N.A. 50%
Aliado,"",,,N.A. 50%
Aton,"",,,N.A. 50%
Fusão  EC,"",,,Metominostrobina 110g.L⁻¹ + tebuconazol (triazol) 165g.L⁻¹
Vorax,"",,,N.A. 50%
Vitene,"",,,N.A. 50%
UPL 5001,"",,,"ADJUVANTE, ESPALHANTE ADESIVO 50%"
Airone,"",,,oxicloreto de cobre ( inorgânico ) 239.4g.L⁻¹ + hidróxido de cobre (inorgânico) 223g.L⁻¹
Vessarya,"",,,Picoxistrobina (estrobilurina) 50g.L⁻¹ + Benzovindiflupyr (pirazol carboxamida) 100g.L⁻¹
Sanutri,"",,,N.A. 50%
NA 5909 RR,"",,,
M 5917 IPRO,"",,,
M 6410 IPRO,"",,,
Triziman,"",,,
Vivaflora,"",,,
Fungiceler,"",,,
Disco L-232 Ag Red,L-232IBR,,,
Targa Max,"",,,quizalofope-P-etílico (ác.ariloxifenoxipropiô 50g.L⁻¹
Verdict Max,"",,,haloxifope-P-metílico (ácido ariloxifenoxipro 540g.L⁻¹
Amplexus,"",,,imazapir (imidazolinona) 175g/kg + imazapique (imidazolinona) 525g/kg
Kennox,"",,,haloxifope-P-metílico (ácido ariloxifenoxipro 123.6g.L⁻¹ + cletodim (oxima ciclohexanodiona) 240g.L⁻¹
Trunfo,"",,,Glufosinato - sal de amônio 280g.L⁻¹
Closer SC,"",,,Sulfoxaflor 240g.L⁻¹
Vircontrol S.F,"",,,Baculovirus Spodoptera frugiperda 6.4g.L⁻¹
Biotrio,Biotrio,,,Bacillus amyloliquefaciens 1×10¹¹ endósporos/L + Bacillus subtilis 1×10¹¹ endósporos/L + Bacillus pumilus 1×10¹¹ endósporos/L
Stimutrop,"",,,
Joint Oil,Joint Oil,,,óleo mineral (hidrocarbonetos alifáticos) 761g.L⁻¹
Não Iônico,Não Iônico,,,
Dash® HC,"",,,
Valeos,"",,,saflufenacil (pirimidinadiona) 700g.L⁻¹
Stone,"",,,sulfentrazona (triazolona) 175g.L⁻¹ + diurom (uréia) 350g.L⁻¹
Adicionar produto do agricultor A,"",,,
Óleo Mineral,"",,,
Bravengis,"",,,
Adicionar produto do agricultor B,"",,,
Adicionar produto do agricultor C,"",,,
Adicionar produto do agricultor D,"",,,
Seed +,"",,,
Crop+,"",,,
Presence,"",,,
CoMo,,,,
gramoxone,,,,
Plant Start,,,,
Boro 10,,,,
Não tem,,,,
Quimiorgen,,,,
Orbital,,,,
StimuControl,,,,
Quartzo ,,,,
Terra forte ,,,,
Potrich,,,,
Speedylux CoMo,,,,
Raud wg ultra ,,,,
Fortenza ,,,,
Ferlileader NG,,,,
"1",,,,
Zapp,,,,
Certeza N,,,,
Nobilis Sil Nutriagro ,,,,
Kyojin,,,,
Sperto,"",,,
Vegetal Oil,,,,
Biozyme,,,,
Biomassa Brad,,,,
Bioma Brad,,,,
Bio Action Power,,,,
Racine,,,,
Zeus,,,,
Engeo Pleno S,,,,
Xeque mate,,,,
Zethamax,,,,
Prime Citrus Fertilizante Foliar,,,,
Prime Fertilizante Foliar,,,,
Glifosato 480 ,,,,
Ori-min Óleo mineral ,,,,
Fertiactil Leg Timac,,,,
Complessed,,,,
Biozime ,,,,
Seed COMO,,,,
Xeque-mate ,,,,
Sfera,,,,
Xylemax,,,,
Fulland ,,,,
Spray Fix,,,,
Naturamin WSP,,,,
Absoluto,,,,
Iharol gold,,,,
Nobilis Sil,,,,
Expedition ,"",,,Sulfoxaflor 100g + lambda-cialotrina (piretróide) 150g
Aumenax,,,,
Melaço,,,,
Sulfato de Magnésio ,,,,
Tradecorp Mn,,,,
Florax,,,,
Bioma phos,,,,
Abameks,,,,
Bold,,,,
Hold ,,,,
Detox ,,,,
Helper Desek,,,,
Biomol,,,,
Auin,,,,
Paraquat,,,,
Compact - Lufenuron 50 g/l,,,,
Fipronil 250 g/l,,,,
Blend,,,,
Magnum - acefato ,,,,
Start Manganês ,,,,
Prêmio espalhante adesivo ,,,,
Helper dessek,,,,
Azofix,,,,
Biomax Azum ,,,,
Dourado,,,,
Proclaim 50,,,,
Pumma Kalidad,,,,
Metomex,,,,
Tradcorp Mn,,,,
versaria,,,,
Oppa( OM),,,,
Standak Top FS - Ts,,,,
"2,4 D",,,,
Coopercrop,,,,
Sperto wg ,,,,
Paraquate,,,,
verismo,,,,
Verismo (Metaflumizone),,,,
Glifosato,,,,
Cletodim ,,,,
gligosato ,,,,
Glifosato Zap QI,,,,
Emultec,,,,
Poker,,,,
Revolux,"",,,metoxifenozida (diacilhidrazina) 300g.L⁻¹ + Espinetoram (espinosinas) 60g.L⁻¹
Silwet,"",,,
Exor,"",,,Sulfoxaflor 240g.L⁻¹
Variedade Suscetível,"",,,
Variedade Tolerante,"",,,
Controller NT,"",,,mancozebe 800g/kg
Bim Max,"",,,triciclazol (benzotiazol) 200g.L⁻¹ + tebuconazol (triazol) 160g.L⁻¹
Aproach Power ret agronomia,Picoxistrobina 90 g/L + Ciproconazol 40 g/L_Corteva,,,Picoxistrobina (estrobilurina) 90g.L⁻¹ + ciproconazol (triazol) 40g.L⁻¹
